Customer heading,Latitude,Longitude,Town,Province,Region,Current Seller id,Institution,Titularity
113956,42.852859,-2.668525,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113958,42.853774,-2.391622,SALVATIERRA-AGURAIN,Álava,País Vasco,154.0,No,Private
113960,42.841873,-2.681587,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113962,42.842855,-2.659526,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113963,42.817684,-2.812399,IRUÑA OKA-IRUÑA DE OCA,Álava,País Vasco,154.0,No,Catholic
113964,42.839758,-2.671492,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Catholic
113965,42.849852,-2.679182,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113966,42.855499,-2.682009,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113969,42.835395,-2.660259,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Public
113970,42.859065,-2.664296,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113971,43.050668,-3.000826,AMURRIO,Álava,País Vasco,154.0,No,Catholic
113972,42.87617,-2.680275,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113973,42.841469,-2.670406,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113974,42.837038,-2.67646,VITORIA-GASTEIZ,Álava,País Vasco,154.0,No,Catholic
113975,42.846067,-2.677818,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Private
113977,42.554225,-2.582648,LAGUARDIA,Álava,País Vasco,154.0,Yes,Public
113983,42.627807,-2.495329,BERNEDO,Álava,País Vasco,154.0,Yes,Public
113984,43.138548,-2.958932,LAUDIO-LLODIO,Álava,País Vasco,154.0,Yes,Public
113989,42.850551,-2.662312,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Public
113992,42.849163,-2.687467,VITORIA-GASTEIZ,Álava,País Vasco,154.0,Yes,Public
113993,42.8912,-2.637899,ARRAZUA-UBARRUNDIA,Álava,País Vasco,154.0,Yes,Public
114044,38.991283,-1.841835,ALBACETE,Albacete,Castilla la Mancha,111.0,No,Catholic
114045,39.287203,-1.472218,CASAS-IBAÑEZ,Albacete,Castilla la Mancha,111.0,Yes,Public
114074,38.902307,-1.994231,SANTA ANA,Albacete,Castilla la Mancha,111.0,Yes,Public
114075,38.696071,-2.597249,POVEDILLA,Albacete,Castilla la Mancha,111.0,Yes,Public
114095,39.260805,-1.918294,TARAZONA DE LA MANCHA,Albacete,Castilla la Mancha,111.0,Yes,Public
114096,38.991882,-1.856887,ALBACETE,Albacete,Castilla la Mancha,111.0,No,Catholic
114097,39.274964,-2.595987,VILLARROBLEDO,Albacete,Castilla la Mancha,111.0,Yes,Public
114098,38.447479,-2.044445,ELCHE DE LA SIERRA,Albacete,Castilla la Mancha,111.0,No,Catholic
114100,39.203489,-2.158762,LA RODA,Albacete,Castilla la Mancha,111.0,No,Catholic
114102,38.982931,-1.864596,ALBACETE,Albacete,Castilla la Mancha,111.0,Yes,Private
114103,38.509773,-1.785784,ISSO,Albacete,Castilla la Mancha,111.0,Yes,Public
