Customer heading,year,Type activity_Administration,Type activity_Collect Information,Type activity_Commercial,Type activity_Customer training,Type activity_Implementation,Type activity_In-house training,Type activity_Internal,Type activity_Others,Type activity_Presentation,Type activity_Prospecting,Type activity_Support,count_cicle,ADMINISTRATION,BIOLOGY AND GEOLOGY,ECONOMY,ENGLISH (INFANT),ENGLISH (PRIMARY),ENGLISH (SECONDARY),FRENCH (PRIMARY),FRENCH (SECONDARY),FRENCH HIGH SCHOOL,GEOGRAPHY AND HISTORY,INFANT,INFORMATION TECHNOLOGY,LATIN & GREEK,LIBRARY,MANAGEMENT BOARD,MATHEMATICS,MUSIC (PRIMARY),MUSIC (SECONDARY),ORIENTATION,OTHER,OWNERSHIP TEAM,PASTORAL TEAM,PHILOSOPHY,PHYSICS AND CHEMISTRY,PLASTIC COURSE,PRIMARY,QUALITY,REGIONAL LANGUAGE,RELIGION (INFANT),RELIGION (PRIMARY),RELIGION (SECONDARY),SCIENCE,SPANISH LANGUAGE,TECHNOLOGY,UNALLOCATED,(blank)
113956.0,2017,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113956.0,2018,0,1,3,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113956.0,2019,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113960.0,2017,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,6,3,0,3,3,0,0
113960.0,2018,0,2,7,0,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5,1,0,0,0,0,0,0,1,0,1,11,0,0,0,2,2,0,2,1,0,0
113960.0,2019,0,0,0,0,0,0,0,2,4,9,0,26,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,1,2,0,0,0,0
113962.0,2017,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113962.0,2018,0,0,4,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
113962.0,2019,0,0,1,0,0,0,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113965.0,2017,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
113965.0,2018,0,2,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0
113965.0,2019,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
113966.0,2017,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
113966.0,2018,0,0,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
113966.0,2019,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
113969.0,2017,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
113969.0,2018,0,0,5,0,0,0,0,0,1,2,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
113969.0,2019,0,2,0,0,0,0,0,0,1,6,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
