Course,Customer heading,Subject,# copies,Type Current Support,Current year,Latitude,Longitude,Town,Current Seller id,Institution,Titularity,key,churn,change_copies,total_visits,Numer_of_Representatives,Sales ratio per customer,sku_interest,# copies per customer
29,136369.0,60,140,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,29_60_136369.0,0,4.0,9.0,3,491.4878048780488,,1997
30,136369.0,60,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_60_136369.0,0,-12.0,9.0,3,491.4878048780488,,1997
30,136369.0,65,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_65_136369.0,1,-12.0,9.0,3,491.4878048780488,,1997
26,136369.0,79,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,26_79_136369.0,0,135.0,9.0,3,491.4878048780488,,1997
30,136369.0,79,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_79_136369.0,0,-12.0,9.0,3,491.4878048780488,,1997
27,136369.0,54,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,27_54_136369.0,0,136.0,9.0,3,491.4878048780488,,1997
27,136369.0,60,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,27_60_136369.0,0,136.0,9.0,3,491.4878048780488,,1997
31,136369.0,60,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,31_60_136369.0,0,147.0,9.0,3,491.4878048780488,,1997
31,136369.0,79,139,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,31_79_136369.0,0,8.0,9.0,3,491.4878048780488,,1997
28,136369.0,65,144,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,28_65_136369.0,1,-4.0,9.0,3,491.4878048780488,,1997
28,136369.0,79,144,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,28_79_136369.0,0,-4.0,9.0,3,491.4878048780488,,1997
29,136370.0,54,0,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,29_54_136370.0,0,119.0,9.0,3,491.4878048780488,,1557
30,136370.0,15,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_15_136370.0,0,-2.0,9.0,3,491.4878048780488,,1557
29,136370.0,79,117,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,29_79_136370.0,0,-117.0,9.0,3,491.4878048780488,,1557
26,136370.0,60,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,26_60_136370.0,0,-4.0,9.0,3,491.4878048780488,,1557
30,136370.0,60,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_60_136370.0,0,-2.0,9.0,3,491.4878048780488,,1557
26,136370.0,79,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,26_79_136370.0,0,-4.0,9.0,3,491.4878048780488,,1557
27,136370.0,13,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_13_136370.0,0,-1.0,9.0,3,491.4878048780488,,1557
31,136370.0,15,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,31_15_136370.0,0,-2.0,9.0,3,491.4878048780488,,1557
30,136370.0,79,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_79_136370.0,0,-2.0,9.0,3,491.4878048780488,,1557
27,136370.0,54,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_54_136370.0,0,-1.0,9.0,3,491.4878048780488,,1557
27,136370.0,79,0,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_79_136370.0,0,119.0,9.0,3,491.4878048780488,,1557
28,136370.0,60,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,28_60_136370.0,0,-1.0,9.0,3,491.4878048780488,,1557
29,136372.0,54,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,29_54_136372.0,0,122.0,9.0,3,491.4878048780488,,1973
27,136372.0,15,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,27_15_136372.0,0,5.0,9.0,3,491.4878048780488,,1973
31,136372.0,13,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_13_136372.0,0,1.0,9.0,3,491.4878048780488,,1973
30,136372.0,79,116,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,30_79_136372.0,0,-4.0,9.0,3,491.4878048780488,,1973
31,136372.0,15,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_15_136372.0,0,1.0,9.0,3,491.4878048780488,,1973
27,136372.0,60,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,27_60_136372.0,0,5.0,9.0,3,491.4878048780488,,1973
31,136372.0,65,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_65_136372.0,0,115.0,9.0,3,491.4878048780488,,1973
28,136372.0,13,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,28_13_136372.0,0,113.0,9.0,3,491.4878048780488,,1973
31,136372.0,79,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_79_136372.0,0,115.0,9.0,3,491.4878048780488,,1973
28,136372.0,60,121,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,28_60_136372.0,0,-8.0,9.0,3,491.4878048780488,,1973
30,136377.0,54,42,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,30_54_136377.0,0,-17.0,9.0,3,408.16326530612247,,269
31,136377.0,15,36,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,31_15_136377.0,0,4.0,9.0,3,408.16326530612247,,269
27,136377.0,60,0,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,27_60_136377.0,0,14.0,9.0,3,408.16326530612247,,269
28,136377.0,13,31,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_13_136377.0,0,-6.0,9.0,3,408.16326530612247,,269
28,136377.0,15,0,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_15_136377.0,0,25.0,9.0,3,408.16326530612247,,269
28,136377.0,60,31,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_60_136377.0,0,-6.0,9.0,3,408.16326530612247,,269
28,136377.0,54,0,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_54_136377.0,0,25.0,9.0,3,408.16326530612247,,269
29,136377.0,15,20,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,29_15_136377.0,0,11.0,9.0,3,408.16326530612247,,269
29,136377.0,13,20,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,29_13_136377.0,0,11.0,9.0,3,408.16326530612247,,269
30,136378.0,13,56,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,30_13_136378.0,0,-8.0,9.0,3,528.7450980392157,,741
30,136378.0,54,56,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,30_54_136378.0,0,-8.0,9.0,3,528.7450980392157,,741
27,136378.0,15,50,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,27_15_136378.0,0,2.0,9.0,3,528.7450980392157,,741
31,136378.0,60,47,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,31_60_136378.0,0,11.0,9.0,3,528.7450980392157,,741
27,136378.0,79,50,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,27_79_136378.0,0,2.0,9.0,3,528.7450980392157,,741
28,136378.0,13,53,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,28_13_136378.0,0,-1.0,9.0,3,528.7450980392157,,741
28,136378.0,15,53,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,28_15_136378.0,0,-1.0,9.0,3,528.7450980392157,,741
31,136378.0,79,47,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,31_79_136378.0,0,11.0,9.0,3,528.7450980392157,,741
29,136378.0,15,58,1,2015,40.242364,-3.704871,PINTO,189.0,No,Catholic,29_15_136378.0,0,-5.0,9.0,3,528.7450980392157,,741
29,136384.0,60,0,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,29_60_136384.0,0,57.0,9.0,3,491.4878048780488,,1082
26,136384.0,15,60,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_15_136384.0,0,-11.0,9.0,3,491.4878048780488,,1082
26,136384.0,13,60,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_13_136384.0,0,-11.0,9.0,3,491.4878048780488,,1082
30,136384.0,13,54,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,30_13_136384.0,0,2.0,9.0,3,491.4878048780488,,1082
26,136384.0,54,60,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_54_136384.0,0,-11.0,9.0,3,491.4878048780488,,1082
26,136384.0,60,60,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_60_136384.0,0,-11.0,9.0,3,491.4878048780488,,1082
30,136384.0,54,54,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,30_54_136384.0,0,2.0,9.0,3,491.4878048780488,,1082
27,136384.0,13,56,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,27_13_136384.0,0,4.0,9.0,3,491.4878048780488,,1082
31,136384.0,13,56,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,31_13_136384.0,0,-2.0,9.0,3,491.4878048780488,,1082
30,136384.0,79,54,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,30_79_136384.0,0,2.0,9.0,3,491.4878048780488,,1082
27,136384.0,60,56,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,27_60_136384.0,0,4.0,9.0,3,491.4878048780488,,1082
31,136384.0,60,0,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,31_60_136384.0,0,54.0,9.0,3,491.4878048780488,,1082
31,136384.0,54,56,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,31_54_136384.0,0,-2.0,9.0,3,491.4878048780488,,1082
27,136384.0,79,0,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,27_79_136384.0,0,60.0,9.0,3,491.4878048780488,,1082
28,136384.0,13,57,1,2015,40.41026,-3.610935,MADRID,208.0,No,Catholic,28_13_136384.0,0,0.0,9.0,3,491.4878048780488,,1082
